מחוז , מעמד מוניצפלי ,מועצה/ עירייה, יישוב,סמל יישוב,ביטולים,טכנולוגיה,סיווג  של הטכנולוגיה,תשובת מחלק,שם הסדרה,תאריך תשובת מחלק,הספק MW
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],20/08/2023 00:00,1.203
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],27/12/2023 00:00,0.001
הדרום,מועצה אזורית,שדות נגב,עלומים,1146,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],24/12/2023 00:00,8
המרכז,מועצה אזורית,גזר,מצליח,757,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],17/08/2023 00:00,2.5
הצפון,מועצה אזורית,גולן,מרום גולן,4101,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],09/07/2023 00:00,0.001
הצפון,מועצה אזורית,גולן,מרום גולן,4101,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],09/07/2023 00:00,0.001
חיפה,מועצה אזורית,מנשה,גן השומרון,225,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית,אסדרת שוק מג [195],15/08/2023 00:00,0.001
הדרום,מועצה אזורית,לכיש,לכיש,24,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],20/07/2023 00:00,6.5
הדרום,מועצה אזורית,לכיש,עוצם,32,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],14/06/2023 00:00,4.9
הדרום,מועצה אזורית,שער הנגב,אור הנר,67,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],12/12/2023 00:00,2.1
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],25/08/2024 00:00,4.68
הדרום,מועצה אזורית,באר טוביה,באר טוביה,155,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],14/06/2023 00:00,9.98
הדרום,מועצה אזורית,באר טוביה,באר טוביה,155,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],29/11/2023 00:00,0.001
הדרום,מועצה אזורית,שער הנגב,ברור חיל,428,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],11/12/2023 00:00,0.001
הדרום,מועצה אזורית,חוף אשקלון,גיאה,706,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],18/07/2023 00:00,6.15
הדרום,מועצה אזורית,באר טוביה,אמונים,772,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],01/08/2023 00:00,13.68
הדרום,מועצה אזורית,באר טוביה,עזריקם,817,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],14/06/2023 00:00,9.98
הדרום,מועצה אזורית,חוף אשקלון,נתיב העשרה,1242,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],18/07/2023 00:00,4.9
הדרום,מועצה אזורית,נווה מדבר,אבו קורינאת (יישוב),1342,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],09/10/2023 00:00,0.001
הדרום,מועצה אזורית,שפיר,רווחה,2051,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],14/06/2023 00:00,7.2
הדרום,מועצה אזורית,חבל אילות,תמנע,100093,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],27/12/2023 00:00,14.4
המרכז,עירייה,טייבה,טייבה,2730,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],27/06/2023 00:00,13.48
הצפון,מועצה אזורית,הגלבוע,עין חרוד (מאוחד),82,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],06/08/2023 00:00,4.5
הצפון,מועצה אזורית,עמק הירדן,אפיקים,176,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],28/09/2023 00:00,11.7
הצפון,מועצה אזורית,הגלבוע,מולדת,269,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],02/08/2023 00:00,5
הצפון,מועצה אזורית,עמק יזרעאל,אלוני אבא,429,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],07/09/2023 00:00,2.5
הצפון,מועצה אזורית,גולן,מעלה גמלא,4008,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],15/08/2023 00:00,4.9
הצפון,מועצה מקומית,קצרין,קצרין,4100,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],28/09/2023 00:00,2.5
חיפה,מועצה אזורית,מנשה,תלמי אלעזר,2003,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],22/08/2023 00:00,0.001
"יו""ש",מועצה אזורית,מגילות ים המלח,קליה,3601,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],11/07/2023 00:00,11
"יו""ש",מועצה אזורית,מגילות ים המלח,קליה,3601,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],17/07/2023 00:00,12
"יו""ש",מועצה אזורית,מגילות ים המלח,קליה,3601,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],17/07/2023 00:00,12
"ת""א",עירייה,בני ברק,בני ברק,6100,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,חיובית חלקית,אסדרת שוק מג [195],15/06/2023 00:00,0.001
הצפון,עירייה,נצרת,נצרת,7300,הזמנות  מבוטלות,פוטוולטאי,פוטוולטאי,חיובית מוגבלת,אסדרת שוק מג [195],15/08/2023 00:00,2
הדרום,מועצה אזורית,לכיש,שדה משה,18,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,שלילית,אסדרת שוק מג [195],29/11/2023 00:00,0.001
הדרום,מועצה אזורית,יואב,גת (קיבוץ),340,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,שלילית,אסדרת שוק מג [195],24/07/2024 00:00,2.1
הצפון,מועצה אזורית,הגליל העליון,מחניים,308,הזמנות לא מבוטלות,פוטוולטאי,פוטוולטאי,שלילית,אסדרת שוק מג [195],10/08/2023 00:00,0.001
הדרום,מועצה אזורית,לכיש,שחר,7,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,02/01/2025 00:00,31.464
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,10/04/2025 00:00,5.4878
הדרום,עירייה,אשדוד,אשדוד,70,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,16/07/2025 00:00,2.898
הדרום,מועצה אזורית,אשכול,עמיעוז,318,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,03/02/2025 00:00,18.4
הדרום,מועצה אזורית,אשכול,עמיעוז,318,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,23
הדרום,מועצה אזורית,בני שמעון,שובל,394,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,03/02/2025 00:00,6.1433
הדרום,מועצה אזורית,בני שמעון,משמר הנגב,395,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,05/02/2025 00:00,11.5
הדרום,מועצה אזורית,אשכול,נירים,602,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,03/02/2025 00:00,10.35
הדרום,מועצה אזורית,מרחבים,מסלול,748,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,6.1433
הדרום,מועצה אזורית,מרחבים,בטחה,762,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,26.565
הדרום,מועצה אזורית,באר טוביה,אביגדור,819,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,25/07/2024 00:00,21.022
הדרום,מועצה אזורית,שפיר,עוזה,826,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,29/07/2024 00:00,31.464
הדרום,מועצה אזורית,שער הנגב,נחל עוז,844,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,27.6
הדרום,מועצה אזורית,חבל אילות,יטבתה,866,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,6.5044
הדרום,מועצה אזורית,אשכול,תלמי אליהו,1051,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,10/03/2025 00:00,23
הדרום,אחר,מחנה יתיר,מחנה יתיר,1196,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,8.05
הדרום,מועצה אזורית,חבל אילות,אליפז,1248,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,5.0347
הדרום,מועצה אזורית,חבל אילות,לוטן,1255,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,11.5
הדרום,מועצה אזורית,רמת נגב,ניצני סיני,1280,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,09/01/2025 00:00,11.5
הדרום,מועצה אזורית,מרחבים,ניר משה,2047,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,27.6
הדרום,מועצה אזורית,מרחבים,"פעמי תש""ז",2059,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,9.2
הדרום,עירייה,באר שבע,באר שבע,9000,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,04/02/2025 00:00,9.2
הדרום,עירייה,באר שבע,באר שבע,9000,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,20.7
הדרום,עירייה,באר שבע,באר שבע,9000,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,21/04/2025 00:00,6.8977
הדרום,מועצה אזורית,בני שמעון,מ.א.בני שמעון,100050,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,31.51
הדרום,מועצה אזורית,רמת נגב,מ.א.רמת הנגב,100053,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,21/01/2025 00:00,6.9
המרכז,מועצה אזורית,ברנר,גבעת ברנר,147,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,14/08/2024 00:00,13.455
המרכז,מועצה מקומית,ג'לג'וליה,ג'לג'וליה,627,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,27/01/2025 00:00,4.6
המרכז,מועצה אזורית,דרום השרון,נחשונים,705,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,18/06/2024 00:00,0.3059
המרכז,מועצה אזורית,דרום השרון,נחשונים,705,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,27/01/2025 00:00,0.3059
המרכז,מועצה אזורית,דרום השרון,בית ברל,1076,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,07/07/2024 00:00,1.8216
המרכז,מועצה אזורית,עמק חפר,פארק תעשיות עמק חפר,1745,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,20/08/2024 00:00,16.1
המרכז,עירייה,לוד,לוד,7000,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,05/06/2024 00:00,0.3059
המרכז,עירייה,רמלה,רמלה,8500,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,07/07/2024 00:00,2.76
המרכז,עירייה,רעננה,רעננה,8700,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,24/03/2025 00:00,5.75
הצפון,מועצה אזורית,עמק יזרעאל,גיניגר,92,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,02/07/2024 00:00,6.8977
הצפון,מועצה אזורית,עמק יזרעאל,תל עדשים,103,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,24/07/2024 00:00,23
הצפון,מועצה אזורית,עמק יזרעאל,תל עדשים,103,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,25/07/2024 00:00,25.3
הצפון,מועצה אזורית,עמק יזרעאל,יפעת,134,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,17/07/2024 00:00,7.705
הצפון,מועצה אזורית,עמק יזרעאל,יפעת,134,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,24/07/2024 00:00,9.2
הצפון,מועצה אזורית,עמק יזרעאל,יפעת,134,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,25/09/2024 00:00,15.065
הצפון,עירייה,יקנעם עילית,יקנעם עילית,240,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,27/06/2024 00:00,18.4
הצפון,מועצה אזורית,הגליל התחתון,שרונה,292,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,26/09/2024 00:00,20.0698
הצפון,מועצה אזורית,עמק המעיינות,כפר רופין,295,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,05/06/2024 00:00,6.67
הצפון,מועצה אזורית,עמק המעיינות,נווה איתן,296,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,04/06/2024 00:00,31.464
הצפון,מועצה אזורית,מטה אשר,כפר מסריק,297,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,28/09/2025 00:00,13.8
הצפון,מועצה אזורית,מטה אשר,אפק,313,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,26/06/2024 00:00,11.5
הצפון,מועצה אזורית,מטה אשר,סער,454,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,02/07/2024 00:00,4.6
הצפון,מועצה אזורית,משגב,יודפת,1112,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,02/07/2024 00:00,12.305
הצפון,מועצה מקומית,בוקעאתא,בוקעאתא,4001,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,02/07/2024 00:00,33.12
הצפון,מועצה אזורית,גולן,מרום גולן,4101,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,30/05/2024 00:00,21.62
חיפה,מועצה אזורית,מנשה,ברקאי,617,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,24/07/2024 00:00,6.21
חיפה,מועצה אזורית,מנשה,ברקאי,617,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,01/09/2025 00:00,31.556
חיפה,עירייה,חיפה,חיפה,4000,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,17/11/2024 00:00,0.69
"יו""ש",מועצה אזורית,ערבות הירדן,גיתית,3613,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,27/01/2025 00:00,33.12
ירושלים,מועצה אזורית,מטה יהודה,אשתאול,740,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,27/11/2024 00:00,5.75
ירושלים,מועצה אזורית,מטה יהודה,בקוע,864,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,13/02/2025 00:00,11.27
"ת""א",עירייה,בת ים,בת ים,6200,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,24/07/2024 00:00,11.5
"ת""א",עירייה,חולון,חולון,6600,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,03/11/2024 00:00,1.196
"ת""א",עירייה,חולון,חולון,6600,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית,אסדרת שוק מג [195] - משולב אגירה,04/09/2025 00:00,1.196
הדרום,מועצה אזורית,יואב,בית ניר,16,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,29/07/2024 00:00,27.117
הדרום,מועצה אזורית,לכיש,שדה דוד,36,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,17/07/2024 00:00,7.659
הדרום,מועצה אזורית,בני שמעון,משמר הנגב,395,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,5.75
הדרום,מועצה אזורית,בני שמעון,נבטים,396,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,03/07/2024 00:00,22.954
הדרום,מועצה אזורית,אשכול,בארי,399,הזמנות  מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,19/08/2024 00:00,6.44
הדרום,מועצה אזורית,שדות נגב,שוקדה,415,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,30/05/2024 00:00,23
הדרום,מועצה אזורית,שער הנגב,גבים,424,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,03/07/2024 00:00,31.464
הדרום,מועצה אזורית,יואב,רבדים,564,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,26/09/2024 00:00,23
הדרום,מועצה אזורית,באר טוביה,ערוגות,593,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,04/08/2024 00:00,19.8743
הדרום,מועצה אזורית,בני שמעון,בית קמה,598,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,25/06/2024 00:00,18.4
הדרום,מועצה אזורית,שפיר,שפיר,692,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,24/07/2024 00:00,31.464
הדרום,מועצה אזורית,אשכול,מגן,695,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,05/08/2024 00:00,25.99
הדרום,מועצה אזורית,חוף אשקלון,הודייה,726,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,10/07/2024 00:00,8.372
הדרום,מועצה מקומית,ירוחם,ירוחם,831,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,26/08/2024 00:00,14.95
הדרום,מועצה אזורית,שער הנגב,כפר עזה,845,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,05/08/2024 00:00,4.6
הדרום,מועצה אזורית,חבל אילות,יטבתה,866,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,03/07/2024 00:00,9.2
הדרום,מועצה אזורית,אשכול,ישע,916,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,30/12/2024 00:00,18.63
הדרום,מועצה אזורית,חבל אילות,אילות,1126,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,25/06/2024 00:00,33.12
הדרום,מועצה אזורית,תמר,עין תמר,1251,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,31/03/2024 00:00,22.954
הדרום,מועצה אזורית,נווה מדבר,אבו קורינאת (יישוב),1342,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,13/02/2024 00:00,16.1
הדרום,מועצה אזורית,נווה מדבר,אבו קורינאת (יישוב),1342,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,03/07/2024 00:00,16.33
הדרום,מועצה אזורית,נווה מדבר,אבו קורינאת (יישוב),1342,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,03/07/2024 00:00,27.6
הדרום,מועצה אזורית,לכיש,כרמי קטיף,1374,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,29/07/2024 00:00,7.314
הדרום,מועצה אזורית,תמר,מפעלי מישור רותם,1773,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,30/05/2024 00:00,31.28
הדרום,מועצה אזורית,תמר,מפעלי מישור רותם,1773,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,05/08/2024 00:00,23
הדרום,מועצה אזורית,תמר,עין גדי,2042,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,30/05/2024 00:00,9.2
הדרום,מועצה אזורית,יואב,סגולה,2046,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,10/10/2024 00:00,9.062
הדרום,מועצה אזורית,מרחבים,ניר עקיבא,2048,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,05/08/2024 00:00,19.55
הדרום,מועצה אזורית,בני שמעון,תדהר,2061,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,16/05/2025 00:00,11.27
הדרום,עירייה,ערד,ערד,2560,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,09/06/2024 00:00,9.2
הדרום,מועצה אזורית,אשכול,מ.א.אשכול,100049,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,12/08/2025 00:00,4.14
הדרום,מועצה אזורית,תמר,מ.א.תמר,100055,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,10/06/2024 00:00,33.12
הדרום,מועצה אזורית,חבל אילות,תמנע,100093,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,09/06/2024 00:00,33.12
המרכז,מועצה אזורית,עמק חפר,משמר השרון,194,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,22/07/2024 00:00,3.45
המרכז,מועצה אזורית,עמק חפר,משמר השרון,194,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,29/09/2024 00:00,11.4977
המרכז,מועצה אזורית,לב השרון,נורדייה,447,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,13/10/2024 00:00,4.37184
המרכז,מועצה אזורית,נחל שורק,יד בנימין,577,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,25/06/2024 00:00,19.55
המרכז,מועצה אזורית,נחל שורק,יד בנימין,577,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,25/06/2024 00:00,11.27
המרכז,מועצה אזורית,נחל שורק,יד בנימין,577,הזמנות לא מבוטלות,פוטוולטאי,משולב אגירה,חיובית חלקית,אסדרת שוק מג [195] - משולב אגירה,29/10/2024 00:00,11.27
