שנה/ חודש,סוג אסדרה,תחרות באספקה/ אסדרה קיימת,ביתי/ לא ביתי,סיבות לססטוס  ,פירוט סיבת סטטוס ,סטטוס,מספר בקשות
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,1
2021/11,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,274
2021/12,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,5
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,21
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,11
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,2
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,"נסגר ידנית ע""י נגה",נדחה,1
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,4
2021/12,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,2
2021/12,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2021/12,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,1
2021/12,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/01,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,22
2022/01,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,11
2022/01,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,2
2022/01,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,2
2022/01,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,8
2022/01,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,1
2022/01,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,87
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,החוזה לא פעיל,נדחה,2
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,31
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,לא נמצא איש קשר עבור החוזה,נדחה,3
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,6
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,1
2022/02,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2022/02,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,5
2022/02,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2022/03,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,89
2022/03,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,לא נמצא איש קשר עבור החוזה,נדחה,3
2022/03,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/03,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,2
2022/03,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,2
2022/03,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,בדיקות מכסה נכשלו,נדחה,18
2022/03,מספקים וירטואליים,תחרות באספקה,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/03,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,1
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,113
2022/04,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,2
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,אי תאימות במונים שהוגשו,נדחה,2
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,החוזה לא פעיל,נדחה,1
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,17
2022/04,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2022/04,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,2
2022/05,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,13
2022/05,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,20
2022/05,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות לאחד המונים אין יכולות קריאה מרחוק,נדחה,1
2022/05,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,1
2022/05,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,2
2022/05,מספקים וירטואליים,תחרות באספקה,ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/05,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/05,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,8
2022/05,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,בדיקות מכסה נכשלו,נדחה,3
2022/05,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,3
2022/05,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,1
2022/06,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,39
2022/06,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,31
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,293
2022/06,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות לאחד המונים אין יכולות קריאה מרחוק,נדחה,1
2022/06,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,2
