Diagram #2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
English translation,,2024 Solar Share (%),2030 renewable target (%),2050 renewable target (%),
,,שיעור הייצור הסולארי בשנת 2024,יעד אנרגיה מתחדשת לשנת 2030,יעד אנרגיה מתחדשת לשנת 2050,
Israel,ישראל,14.6,30,77,
Germany,גרמניה,14.6,80,100,
Spain,ספרד,18.7,81,100,
Italy,איטליה,13.3,55,100,
Greece,יוון,17.4,75,100,
California,קליפורניה,23.4,50,100,
,,,,,
,,,,,Sources: IEA
,,,,,Spanish NECP 2021 - 2030
,,,,,Greek NECP 2021 - 2030
,,,,,California Energy Commission
,,,,,Israeli Electricity Authority & Ministry of Energy
